Gene_Name,Post_1,Post_10,Post_11,Post_12,Post_13,Post_14,Post_15,Post_16,Post_17,Post_18,Post_19,Post_2,Post_20,Post_21,Post_22,Post_23,Post_24,Post_25,Post_26,Post_28,Post_29,Post_3,Post_30,Post_5,Post_6,Post_7,Post_8,Pre_1,Pre_10,Pre_11,Pre_12,Pre_13,Pre_14,Pre_15,Pre_16,Pre_17,Pre_18,Pre_19,Pre_2,Pre_20,Pre_21,Pre_22,Pre_23,Pre_24,Pre_25,Pre_26,Pre_28,Pre_29,Pre_3,Pre_30,Pre_5,Pre_6,Pre_7,Pre_8
APOA4,83279.53799,69291.76979,45314.28997,129173.3399,44575.88669,25230.30375,63730.17773,197063.2753,47131.81531,210132.4605,62802.27233,17439.07667,88127.09225,75305.28657,23458.54001,36146.11405,16013.98036,155691.5451,40062.75062,20601.31027,114607.5958,62731.43434,98189.67873,155829.4625,119108.46,11794.70392,171646.7113,33152.20432,73132.47107,116151.2464,357647.9788,81250.27628,53872.89467,135935.797,201372.8397,55594.1448,48517.46727,54111.09007,77757.11524,99296.33933,47088.68897,54623.01807,50726.70701,22840.34232,253347.1978,46747.47999,50921.29914,41587.23946,41767.61231,83865.84294,68807.64722,69385.35668,10799.24571,27743.37297
APOB,506979.5717,166269.8061,61270.29868,76848.89964,58035.61369,42770.10183,65039.33837,35467.17314,57729.16686,283629.1255,27275.98819,14261.38914,31049.22464,78136.14491,17999.85798,60835.28955,40035.07745,86067.06665,124335.8553,92304.25094,158314.8994,44182.88916,55675.95802,889577.1678,178635.1413,18171.97187,739309.9198,68072.01489,136838.7968,292767.2216,382614.8546,216081.9333,83010.57427,446198.6665,142079.4989,143579.5871,96791.43933,382379.1607,181092.3197,102505.5024,19631.32054,22569.91177,72684.54362,48364.75763,252946.4568,26287.44791,110400.9953,34849.24233,45267.14056,60009.63994,634454.1989,49162.58404,12552.57071,83449.86308
APOBR,3480.732391,1572.758753,858.7179133,1550.878229,1803.649276,7521.169288,3309.824875,3099.679096,3562.241843,15336.16394,2689.334781,1012.830556,2311.951982,5458.225533,2055.964416,1568.659558,1696.007359,1410.040746,2697.486547,6978.038246,2752.944682,4168.910714,2810.390714,4705.67305,1844.988933,2779.98738,9128.174634,3078.54799,4466.769011,2560.329812,1261.5127,3243.359646,3798.268592,2939.773267,3215.824228,2854.174244,1190.619191,3815.033577,3264.703452,3479.094167,3886.288052,5308.147538,4775.69153,3640.500375,3134.657534,4676.604589,1882.48123,4201.725295,5349.795809,4112.90329,8896.791189,5278.546239,1547.599769,2103.385782
APOC1,14047.02902,5651.335127,1768.072023,25406.06876,4027.329153,3049.930725,14663.40374,67636.23256,7317.982399,113355.3876,14284.25904,1157.025896,22427.72311,4840.077315,2567.872261,3107.299595,2778.510935,5489.311931,3032.344895,1931.950991,50220.39911,50686.23184,3297.33831,116770.8149,7097.600054,3281.210855,28471.85169,8329.546163,4489.300392,43940.39108,83673.42378,30033.4676,4157.88415,13571.44356,41619.89172,10593.46165,51657.36554,47500.96306,16334.24219,43530.7987,3101.918667,7486.33471,7782.122323,1904.108032,15767.95491,4261.686392,6991.025098,12915.88305,39226.90222,5779.377113,70062.44473,4950.655671,1873.913088,1144.66999
APOC2,526.5950835,398.5994403,348.2539027,359.284853,777.6499631,758.8969274,362.3971371,523.4678809,717.1710729,1166.894587,512.4302242,426.8222271,406.5651479,426.2915487,561.684351,371.9285584,684.7829759,537.5198845,468.5607678,440.5443969,836.2624473,922.8773529,515.3447809,6352.793707,451.3768402,514.8426752,1280.000565,662.5906985,579.1264177,444.4374973,2422.012984,517.2758605,446.1085292,398.7308065,1548.168752,951.658137,475.7995468,554.8191458,750.4697697,678.7020488,396.637827,567.3829952,745.8176872,509.2888164,368.7419488,534.0721982,555.335819,537.1595373,683.3306108,561.7689576,5201.413177,851.7023645,303.503314,341.5608996
APOC3,26194.88431,7632.933422,3338.909506,28488.02258,5478.457358,5599.265382,12556.19079,14718.36751,5656.388982,84585.96367,6120.041548,4130.785285,12855.4714,8857.532447,3708.838974,7501.770493,3008.412663,7583.875111,5751.626059,4616.969682,35272.23614,24621.79548,4173.334033,370016.0935,18715.58849,3965.360387,64289.94758,4245.567354,8744.13351,62875.4745,118250.6421,20571.97471,6967.026143,42890.16083,22770.08067,7463.664201,12264.42434,11067.54695,16657.10066,12739.19482,3927.310227,10694.1086,6719.361849,3711.657461,20667.32075,11491.19565,18962.21477,2617.598404,18881.67166,4701.049681,146436.5979,7924.551799,2261.560745,17002.07787
APOD,120675.234,75989.4607,32231.36508,150284.5013,125082.2517,131470.4902,92700.426,379382.4493,301518.7003,843322.9548,144922.8999,42824.24039,181398.6665,220441.3919,27647.18508,77451.57042,28529.4548,207677.7419,48009.18722,48151.58467,237823.5347,140130.3315,556753.7904,182316.3889,93887.16303,112163.535,253491.6284,109121.7702,96729.05488,100016.7903,183649.132,98969.21807,246382.211,106877.1042,419388.6209,316872.0741,136252.7133,199100.1137,222258.4583,315902.2534,429878.7482,51437.49832,85519.50118,31763.04601,337832.3089,42580.49884,82957.00851,274646.3272,128636.3354,510579.1587,126591.1951,82133.47638,145266.5748,94837.53808
APOE,41426.20102,40279.55477,10350.28192,27807.72723,39297.33543,22441.64807,33009.69676,47876.41252,25154.26743,127372.7603,33251.52363,6824.409192,31913.52054,16204.89306,19809.19426,37164.34525,5405.098699,33026.8933,23647.68689,9740.372172,67141.61484,49279.22207,51147.14224,154099.5477,47808.25163,5961.749206,50965.86668,18901.95823,31806.39589,67888.01855,71707.71417,38223.5781,36947.42338,68922.68916,54851.56927,66614.378,48817.14846,37615.45841,63871.68535,49958.06002,39603.59089,108598.9773,66277.55265,9982.282007,43542.20242,37642.18105,19826.92756,23697.28363,34862.65742,51994.09517,106555.6312,50631.02374,6332.035172,4964.526312
APOH,132191.1503,144243.7471,71909.01085,82422.48525,114272.3387,54210.81494,217379.0616,142420.9456,99030.6637,289112.774,107126.4226,17795.43725,205010.6585,79016.08862,48900.75986,106041.2885,17072.0895,137533.6558,71774.16129,46355.23238,126375.5809,124808.0198,268447.0814,287737.7472,163712.3214,23059.52399,219851.5459,100102.6425,128766.3178,151873.8441,202636.9281,142919.8915,122658.3102,216115.9409,113089.4538,102864.5147,90975.79341,90790.09295,116575.325,263035.2586,107752.3968,132544.005,146094.8828,32203.63731,317444.709,123610.6834,69360.25263,81486.20349,154885.0779,178043.4816,167406.5039,141324.9841,40382.90796,167211.0866
APOL1,98583.81764,41378.00039,49174.8291,50364.57147,45827.19743,35690.25259,45592.34673,49403.74968,52782.22663,112411.5018,28189.18845,25216.3438,54000.58293,32991.05058,40778.35955,21403.10632,25150.671,47026.24043,44468.0411,24641.18997,113059.1044,53878.97752,36407.21104,1024453.068,85281.90095,29667.45499,434786.9806,42090.49764,37350.04445,253250.9854,159532.5457,117525.9911,39464.24717,248279.7972,91759.97893,34056.61062,93863.20418,80298.2802,84134.19188,126426.8462,55828.93381,40015.40417,39868.97733,20740.75248,199062.7971,41782.89948,43664.01765,35476.65523,48257.3651,40747.42815,218456.1497,45683.80825,20953.17901,121940.7229
